class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,15.26,x,g,o,f,e,,w,16.95,17.09,s,y,w,u,w,t,g,,d,w
p,16.6,x,g,o,f,e,,w,17.99,18.19,s,y,w,u,w,t,g,,d,u
p,14.07,x,g,o,f,e,,w,17.8,17.74,s,y,w,u,w,t,g,,d,w
p,14.17,f,h,e,f,e,,w,15.77,15.98,s,y,w,u,w,t,p,,d,w
p,14.64,x,h,o,f,e,,w,16.53,17.2,s,y,w,u,w,t,p,,d,w
p,15.34,x,g,o,f,e,,w,17.84,18.79,s,y,w,u,w,t,p,,d,u
p,14.85,f,h,o,f,e,,w,17.71,16.89,s,y,w,u,w,t,g,,d,w
p,14.86,x,h,e,f,e,,w,17.03,17.44,s,y,w,u,w,t,p,,d,u
p,12.85,f,g,o,f,e,,w,17.27,18.69,s,y,w,u,w,t,p,,d,a
p,13.55,f,g,e,f,e,,w,16.04,16.88,s,y,w,u,w,t,p,,d,w
p,14.17,f,h,e,f,e,,w,17.86,18.02,s,y,w,u,w,t,p,,d,a
p,13.4,x,h,o,f,e,,w,17.95,17.14,s,y,w,u,w,t,p,,d,u
p,17.37,x,h,o,f,e,,w,18.1,18.27,s,y,w,u,w,t,g,,d,u
p,16.56,x,h,o,f,e,,w,18.89,18.11,s,y,w,u,w,t,p,,d,u
p,15.37,x,h,e,f,e,,w,18.19,18.38,s,y,w,u,w,t,g,,d,a
p,15.54,f,h,e,f,e,,w,18.26,17.87,s,y,w,u,w,t,p,,d,a
p,15.19,x,g,e,f,e,,w,17.42,17.67,s,y,w,u,w,t,p,,d,a
p,17.4,x,h,o,f,e,,w,18.48,18.54,s,y,w,u,w,t,p,,d,a
p,16.16,x,g,o,f,e,,w,19.46,18.9,s,y,w,u,w,t,p,,d,w
p,16.93,x,h,e,f,e,,w,18.31,17.81,s,y,w,u,w,t,p,,d,u
p,13.0,f,g,e,f,e,,w,17.3,17.19,s,y,w,u,w,t,g,,d,w
p,13.06,x,g,e,f,e,,w,16.9,17.38,s,y,w,u,w,t,g,,d,u
